From,Entry,Entry Name,Length,Organism (ID),Taxonomic lineage,Taxonomic lineage (Ids)
A0A0W0CYR1,A0A0W0CYR1,A0A0W0CYR1_CANGB,1089,5478,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Ascomycota (phylum)saccharomyceta (norank)Saccharomycotina (subphylum)Saccharomycetes (class)Saccharomycetales (order)Saccharomycetaceae (family)Nakaseomyces (genus),|131567|2759|33154|4751|451864|4890|716545|147537|4891|4892|4893|374468|
A0A2X1AXR3,A0A2X1AXR3,A0A2X1AXR3_BREDI,1175,293,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Caulobacterales (order)Caulobacteraceae (family)Brevundimonas (genus),|131567|2|1224|28211|204458|76892|41275|
A0A0N0TDJ6,A0A0N0TDJ6,A0A0N0TDJ6_9ACTN,1189,1415549,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Kitasatosporales (order)Streptomycetaceae (family)Streptomyces (genus)unclassified Streptomyces (norank),|131567|2|1783272|201174|1760|85011|2062|1883|2593676|
A0A2R4T6A8,A0A2R4T6A8,A0A2R4T6A8_9ACTN,1249,1535768,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Kitasatosporales (order)Streptomycetaceae (family)Streptomyces (genus),|131567|2|1783272|201174|1760|85011|2062|1883|
A0A0N4WI84,A0A0N4WI84,A0A0N4WI84_HAEPC,652,6290,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Nematoda (phylum)Chromadorea (class)Strongylida (order)Trichostrongyloidea (superfamily)Haemonchidae (family)Haemonchus (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|6231|119089|6308|6314|126387|6288|
P9WMP9,P9WMP9,UVRD2_MYCTU,700,83332,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Mycobacteriales (order)Mycobacteriaceae (family)Mycobacterium (genus)Mycobacterium tuberculosis complex (norank)Mycobacterium tuberculosis (species),|131567|2|1783272|201174|1760|85007|1762|1763|77643|1773|
A0A2N1JBR5,A0A2N1JBR5,A0A2N1JBR5_9BASI,1668,2020962,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Ustilaginomycotina (subphylum)Malasseziomycetes (class)Malasseziales (order)Malasseziaceae (family)Malassezia (genus),|131567|2759|33154|4751|451864|5204|452284|1538075|162474|742845|55193|
A0A8X7YVQ5,A0A8X7YVQ5,A0A8X7YVQ5_POPTO,1221,118781,cellular organisms (norank)Eukaryota (superkingdom)Viridiplantae (kingdom)Streptophyta (phylum)Streptophytina (subphylum)Embryophyta (norank)Tracheophyta (norank)Euphyllophyta (norank)Spermatophyta (norank)Magnoliopsida (class)Mesangiospermae (norank)eudicotyledons (norank)Gunneridae (norank)Pentapetalae (norank)rosids (norank)fabids (norank)Malpighiales (order)Salicaceae (family)Saliceae (tribe)Populus (genus),|131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|71275|91835|3646|3688|238069|3689|
A0A2W1QSJ8,A0A2W1QSJ8,A0A2W1QSJ8_9MICO,876,2175622,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Micrococcales (order)Microbacteriaceae (family)Curtobacterium (genus)unclassified Curtobacterium (norank),|131567|2|1783272|201174|1760|85006|85023|2034|257496|
A0A1H0WXT0,A0A1H0WXT0,A0A1H0WXT0_9BURK,632,80868,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Burkholderiales (order)Comamonadaceae (family)Paracidovorax (genus),|131567|2|1224|28216|80840|80864|3051137|
A0A0C5BPQ6,A0A0C5BPQ6,A0A0C5BPQ6_9MOLU,683,743967,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Mycoplasmatota (phylum)Mollicutes (class)Mycoplasmatales (order)Mycoplasmataceae (family)Mycoplasma (genus)Mycoplasma yeatsii (species),|131567|2|1783272|544448|31969|2085|2092|2093|51365|
A0A7J3MJ52,A0A7J3MJ52,A0A7J3MJ52_9ARCH,737,2026714,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Candidatus Bathyarchaeota (phylum)unclassified Candidatus Bathyarchaeota (norank),|131567|2157|1783275|928852|1700837|
A0A8J6AS17,A0A8J6AS17,A0A8J6AS17_9EUKA,1924,201153,cellular organisms (norank)Eukaryota (superkingdom)Metamonada (norank)Fornicata (phylum)Carpediemonas-like organisms (norank)Carpediemonas (genus),|131567|2759|2611341|207245|1265909|201152|
A0A182F320,A0A182F320,A0A182F320_ANOAL,,,,
A0A7C2N447,A0A7C2N447,A0A7C2N447_UNCXX,494,1869227,cellular organisms (norank)Bacteria (superkingdom)Unclassified Bacteria (norank),|131567|2|49928|
A0A2N4YBU8,A0A2N4YBU8,A0A2N4YBU8_9RHOB,1115,2067452,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Rhodobacterales (order)Paracoccaceae (family)Tabrizicola (genus)unclassified Tabrizicola (norank),|131567|2|1224|28211|204455|31989|1443919|2620214|
A0A7Y2ISD8,A0A7Y2ISD8,A0A7Y2ISD8_9ACTN,1197,2080302,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Acidimicrobiia (class)unclassified Acidimicrobiia (norank),|131567|2|1783272|201174|84992|121036|
A0A1V2QTK8,A0A1V2QTK8,A0A1V2QTK8_9PSEU,1013,1933778,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Pseudonocardiales (order)Pseudonocardiaceae (family)Saccharothrix (genus)unclassified Saccharothrix (norank),|131567|2|1783272|201174|1760|85010|2070|2071|2593673|
A0A1I7W5H4,A0A1I7W5H4,A0A1I7W5H4_LOALO,1719,7209,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Nematoda (phylum)Chromadorea (class)Rhabditida (order)Spirurina (suborder)Spiruromorpha (infraorder)Filarioidea (superfamily)Onchocercidae (family)Loa (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|6231|119089|6236|6274|2072716|6295|6296|7208|
P45612,P45612,UVRD_MYCCT,722,340047,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Mycoplasmatota (phylum)Mollicutes (class)Mycoplasmatales (order)Mycoplasmataceae (family)Mycoplasma (genus)Mycoplasma mycoides group (norank)Mycoplasma capricolum (species)Mycoplasma capricolum subsp. capricolum (subspecies),|131567|2|1783272|544448|31969|2085|2092|2093|656088|2095|40479|
A0A0M8MXW1,A0A0M8MXW1,A0A0M8MXW1_9BASI,1626,77020,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Ustilaginomycotina (subphylum)Malasseziomycetes (class)Malasseziales (order)Malasseziaceae (family)Malassezia (genus),|131567|2759|33154|4751|451864|5204|452284|1538075|162474|742845|55193|
C1NA68,C1NA68,C1NA68_MICPC,1584,564608,cellular organisms (norank)Eukaryota (superkingdom)Viridiplantae (kingdom)Chlorophyta (phylum)Mamiellophyceae (class)Mamiellales (order)Mamiellaceae (family)Micromonas (genus)Micromonas pusilla (species),|131567|2759|33090|3041|1035538|13792|41873|38832|38833|
A0A2S8CK49,A0A2S8CK49,A0A2S8CK49_9CORY,890,2099401,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Mycobacteriales (order)Corynebacteriaceae (family)Corynebacterium (genus)unclassified Corynebacterium (norank),|131567|2|1783272|201174|1760|85007|1653|1716|2624378|
A0A1F3VHI2,A0A1F3VHI2,A0A1F3VHI2_9BACT,831,1797395,cellular organisms (norank)Bacteria (superkingdom)Bdellovibrionota (phylum)Bdellovibrionia (class)Bdellovibrionales (order)unclassified Bdellovibrionales (norank),|131567|2|3018035|3031418|213481|404130|
A0A5Q2SGB8,A0A5Q2SGB8,A0A5Q2SGB8_STRDY,,,,
A0A075HL84,A0A075HL84,A0A075HL84_9ARCH,717,1456239,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Nitrososphaerota (phylum)environmental samples (norank),|131567|2157|1783275|651137|651140|
A0A2A9MQ29,A0A2A9MQ29,A0A2A9MQ29_9APIC,2685,94643,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Apicomplexa (phylum)Conoidasida (class)Coccidia (subclass)Eucoccidiorida (order)Eimeriorina (suborder)Sarcocystidae (family)Besnoitia (genus),|131567|2759|2698737|33630|5794|1280412|5796|75739|423054|5809|94642|
A0A0V0J211,A0A0V0J211,A0A0V0J211_SCHSO,1455,70667,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Spiralia (norank)Lophotrochozoa (norank)Platyhelminthes (phylum)Cestoda (class)Eucestoda (subclass)Diphyllobothriidea (order)Diphyllobothriidae (family)Schistocephalus (genus),|131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6157|6199|6200|1224679|28843|70666|
A0A7V6Q3L1,A0A7V6Q3L1,A0A7V6Q3L1_9FIRM,1093,2304039,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Clostridia (class)Thermoanaerobacterales (order)unclassified Thermoanaerobacterales (norank),|131567|2|1783272|1239|186801|68295|68296|
A0A6S6YB55,A0A6S6YB55,A0A6S6YB55_9PROT,1108,311182,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Nitrosomonadales (order)Sterolibacteriaceae (family)Denitratisoma (genus),|131567|2|1224|28216|32003|2008793|311181|
A0A7S4E6Y8,A0A7S4E6Y8,A0A7S4E6Y8_9STRA,939,35677,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Stramenopiles (norank)Ochrophyta (norank)Pelagophyceae (class)Pelagomonadales (order)Pelagomonas (genus),|131567|2759|2698737|33634|2696291|35675|54409|35676|
A0A8T5TAJ0,A0A8T5TAJ0,A0A8T5TAJ0_9ARCH,725,2026747,cellular organisms (norank)Archaea (superkingdom)Asgard group (norank)Candidatus Heimdallarchaeota (phylum)unclassified Candidatus Heimdallarchaeota (norank),|131567|2157|1935183|1936272|3053648|
A0A8S1EGU7,A0A8S1EGU7,A0A8S1EGU7_9PELO,1737,2654633,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Nematoda (phylum)Chromadorea (class)Rhabditida (order)Rhabditina (suborder)Rhabditomorpha (infraorder)Rhabditoidea (superfamily)Rhabditidae (family)Peloderinae (subfamily)Caenorhabditis (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|6231|119089|6236|2301116|2301119|55879|6243|55885|6237|
P03018,P03018,UVRD_ECOLI,720,83333,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)Enterobacterales (order)Enterobacteriaceae (family)Escherichia (genus)Escherichia coli (species),|131567|2|1224|1236|91347|543|561|562|
A0A8R9YTS1,A0A8R9YTS1,A0A8R9YTS1_MALRS,1684,76775,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Ustilaginomycotina (subphylum)Malasseziomycetes (class)Malasseziales (order)Malasseziaceae (family)Malassezia (genus),|131567|2759|33154|4751|451864|5204|452284|1538075|162474|742845|55193|
A0A0G4EJS4,A0A0G4EJS4,A0A0G4EJS4_VITBC,1215,1169540,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Colpodellida (norank)Vitrellaceae (family)Vitrella (genus)Vitrella brassicaformis (species),|131567|2759|2698737|33630|877183|2605696|1169538|1169539|
A0A6G8FQL8,A0A6G8FQL8,A0A6G8FQL8_9MICO,,,,
A0A2E3U7G4,A0A2E3U7G4,A0A2E3U7G4_9GAMM,859,1913989,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)unclassified Gammaproteobacteria (norank),|131567|2|1224|1236|33811|
A0A1K1MI06,A0A1K1MI06,A0A1K1MI06_RUMFL,693,1265,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Clostridia (class)Eubacteriales (order)Oscillospiraceae (family)Ruminococcus (genus),|131567|2|1783272|1239|186801|186802|216572|1263|
A0A662TNT0,A0A662TNT0,A0A662TNT0_UNCAD,732,1906665,cellular organisms (norank)Archaea (superkingdom)Unclassified Archaea (norank),|131567|2157|93506|
A0A0S4JQT9,A0A0S4JQT9,A0A0S4JQT9_BODSA,2146,75058,cellular organisms (norank)Eukaryota (superkingdom)Discoba (norank)Euglenozoa (phylum)Kinetoplastea (class)Metakinetoplastina (subclass)Eubodonida (order)Bodonidae (family)Bodo (genus),|131567|2759|2611352|33682|5653|2704647|2704650|5708|5712|
F2UGI8,F2UGI8,F2UGI8_SALR5,1379,946362,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Choanoflagellata (class)Craspedida (order)Salpingoecidae (family)Salpingoeca (genus),|131567|2759|33154|28009|1924738|81529|86017|
A0A842VK20,A0A842VK20,A0A842VK20_9ARCH,1084,2053489,cellular organisms (norank)Archaea (superkingdom)Asgard group (norank)Candidatus Lokiarchaeota (phylum)unclassified Lokiarchaeota (norank),|131567|2157|1935183|1655434|1655640|
A0A1G3FLJ5,A0A1G3FLJ5,A0A1G3FLJ5_9RHOB,1082,1802012,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Rhodobacterales (order)Paracoccaceae (family)unclassified Paracoccaceae (norank),|131567|2|1224|28211|204455|31989|58840|
V6LNG4,V6LNG4,V6LNG4_9EUKA,765,348837,cellular organisms (norank)Eukaryota (superkingdom)Metamonada (norank)Fornicata (phylum)Diplomonadida (order)Hexamitidae (family)Hexamitinae (subfamily)Spironucleus (genus),|131567|2759|2611341|207245|5738|5739|68460|39709|
A0A832M6X7,A0A832M6X7,A0A832M6X7_9BACT,652,2026801,cellular organisms (norank)Bacteria (superkingdom)PVC group (norank)Verrucomicrobiota (phylum)Verrucomicrobiae (class)Verrucomicrobiales (order)unclassified Verrucomicrobiales (norank),|131567|2|1783257|74201|203494|48461|388747|
A0A812X0C7,A0A812X0C7,A0A812X0C7_9DINO,2255,1628268,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Dinophyceae (class)Suessiales (order)Symbiodiniaceae (family)Symbiodinium (genus),|131567|2759|2698737|33630|2864|89954|252141|2949|
A0A0D5W690,A0A0D5W690,A0A0D5W690_DANRE,937,7955,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Actinopterygii (superclass)Actinopteri (class)Neopterygii (subclass)Teleostei (infraclass)Osteoglossocephalai (norank)Clupeocephala (norank)Otomorpha (cohort)Ostariophysi (subcohort)Otophysi (norank)Cypriniphysae (superorder)Cypriniformes (order)Cyprinoidei (suborder)Danionidae (family)Danioninae (subfamily)Danio (genus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|186634|32519|186626|186627|7952|30727|2743709|2743711|7954|
B6A9C7,B6A9C7,B6A9C7_CRYMR,2300,441375,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Apicomplexa (phylum)Conoidasida (class)Coccidia (subclass)Eucoccidiorida (order)Eimeriorina (suborder)Cryptosporidiidae (family)Cryptosporidium (genus)Cryptosporidium muris (species),|131567|2759|2698737|33630|5794|1280412|5796|75739|423054|35082|5806|5808|
A0A535UR90,A0A535UR90,A0A535UR90_UNCCH,810,2026724,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Chloroflexota (phylum)unclassified Chloroflexota (norank),|131567|2|1783272|200795|189774|
A0A4Y5Z7R9,A0A4Y5Z7R9,A0A4Y5Z7R9_9GAMM,848,2589080,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)Xanthomonadales (order)Rhodanobacteraceae (family)Luteibacter (genus),|131567|2|1224|1236|135614|1775411|242605|
A0A7Z7GU93,A0A7Z7GU93,A0A7Z7GU93_9BURK,849,169430,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Betaproteobacteria (class)Burkholderiales (order)Burkholderiaceae (family)Paraburkholderia (genus),|131567|2|1224|28216|80840|119060|1822464|
A0A0Q5Q8H2,A0A0Q5Q8H2,A0A0Q5Q8H2_9FLAO,756,1736289,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Flavobacteriia (class)Flavobacteriales (order)Weeksellaceae (family)Chryseobacterium group (norank)Chryseobacterium (genus)unclassified Chryseobacterium (norank),|131567|2|1783270|68336|976|117743|200644|2762318|2782232|59732|2593645|
A0A7J2LBC4,A0A7J2LBC4,A0A7J2LBC4_9ARCH,737,2026714,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Candidatus Bathyarchaeota (phylum)unclassified Candidatus Bathyarchaeota (norank),|131567|2157|1783275|928852|1700837|
A0A8K1CQG1,A0A8K1CQG1,A0A8K1CQG1_PYTOL,2239,41045,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Stramenopiles (norank)Oomycota (phylum)Pythiales (order)Pythiaceae (family)Pythium (genus),|131567|2759|2698737|33634|4762|121069|4782|4797|
A0A1Y2I1X5,A0A1Y2I1X5,A0A1Y2I1X5_9FUNG,1310,765915,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Fungi incertae sedis (norank)Blastocladiomycota (phylum)Blastocladiomycota incertae sedis (norank)Blastocladiomycetes (class)Blastocladiales (order)Catenariaceae (family)Catenaria (genus)Catenaria anguillulae (species),|131567|2759|33154|4751|112252|451459|2683660|451460|4805|109872|109875|109876|
A0A4R0MXE0,A0A4R0MXE0,A0A4R0MXE0_9SPHI,1100,2530452,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Sphingobacteriia (class)Sphingobacteriales (order)Sphingobacteriaceae (family)Pedobacter (genus),|131567|2|1783270|68336|976|117747|200666|84566|84567|
A0A8J6B5D7,A0A8J6B5D7,A0A8J6B5D7_9EUKA,1923,201153,cellular organisms (norank)Eukaryota (superkingdom)Metamonada (norank)Fornicata (phylum)Carpediemonas-like organisms (norank)Carpediemonas (genus),|131567|2759|2611341|207245|1265909|201152|
A0A2G4I900,A0A2G4I900,A0A2G4I900_9BACT,843,2024890,cellular organisms (norank)Bacteria (superkingdom)PVC group (norank)Verrucomicrobiota (phylum)Verrucomicrobiae (class)Limisphaerales (order)Pedosphaera (genus)unclassified Pedosphaera (norank),|131567|2|1783257|74201|203494|134621|1032526|2638824|
A0A194S0U2,A0A194S0U2,A0A194S0U2_RHOGW,1851,578459,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Pucciniomycotina (subphylum)Microbotryomycetes (class)Sporidiobolales (order)Sporidiobolaceae (family)Rhodotorula (genus)Rhodotorula graminis (species),|131567|2759|33154|4751|451864|5204|29000|162481|231213|1799696|5533|29898|
O95786,O95786,RIGI_HUMAN,925,9606,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Sarcopterygii (superclass)Dipnotetrapodomorpha (norank)Tetrapoda (norank)Amniota (norank)Mammalia (class)Theria (norank)Eutheria (norank)Boreoeutheria (norank)Euarchontoglires (superorder)Primates (order)Haplorrhini (suborder)Simiiformes (infraorder)Catarrhini (parvorder)Hominoidea (superfamily)Hominidae (family)Homininae (subfamily)Homo (genus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314146|9443|376913|314293|9526|314295|9604|207598|9605|
A0A642UM97,A0A642UM97,A0A642UM97_DIURU,1900,5481,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Ascomycota (phylum)saccharomyceta (norank)Saccharomycotina (subphylum)Saccharomycetes (class)Saccharomycetales (order)Saccharomycetales incertae sedis (norank)Diutina (genus),|131567|2759|33154|4751|451864|4890|716545|147537|4891|4892|241407|1910789|
A0A062X337,A0A062X337,A0A062X337_9ACTN,1032,683305,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Frankiales (order)Frankiaceae (family)Frankia (genus)unclassified Frankia (norank),|131567|2|1783272|201174|1760|85013|74712|1854|2632575|
A0A4Y6PV58,A0A4Y6PV58,A0A4Y6PV58_PERCE,853,2292766,cellular organisms (norank)Bacteria (superkingdom)delta/epsilon subdivisions (norank)Deltaproteobacteria (class)Bradymonadales (order)Bradymonadaceae (family)Persicimonas (genus),|131567|2|68525|28221|1779134|1779135|2766927|
A0A2D6UPH5,A0A2D6UPH5,A0A2D6UPH5_9SPHN,,,,
A0A558HVF1,A0A558HVF1,A0A558HVF1_9VIBR,,,,
A0A2W4TMW5,A0A2W4TMW5,A0A2W4TMW5_UNCXX,795,1869227,cellular organisms (norank)Bacteria (superkingdom)Unclassified Bacteria (norank),|131567|2|49928|
P32639,P32639,BRR2_YEAST,2163,559292,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Ascomycota (phylum)saccharomyceta (norank)Saccharomycotina (subphylum)Saccharomycetes (class)Saccharomycetales (order)Saccharomycetaceae (family)Saccharomyces (genus)Saccharomyces cerevisiae (species),|131567|2759|33154|4751|451864|4890|716545|147537|4891|4892|4893|4930|4932|
A0A7R8X2F6,A0A7R8X2F6,A0A7R8X2F6_9CRUS,1696,69355,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Protostomia (norank)Ecdysozoa (norank)Panarthropoda (norank)Arthropoda (phylum)Mandibulata (norank)Pancrustacea (norank)Crustacea (subphylum)Oligostraca (superclass)Ostracoda (class)Podocopa (subclass)Podocopida (order)Darwinulocopina (suborder)Darwinuloidea (superfamily)Darwinulidae (family)Darwinula (genus),|131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172819|6670|43953|84318|116574|116575|69351|69354|
A0A2N5GNJ7,A0A2N5GNJ7,A0A2N5GNJ7_9BACI,1046,1403243,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Bacilli (class)Bacillales (order)Bacillaceae (family)Bacillus (genus),|131567|2|1783272|1239|91061|1385|186817|1386|
A0A0L1KRR5,A0A0L1KRR5,A0A0L1KRR5_9EUGL,876,1314962,cellular organisms (norank)Eukaryota (superkingdom)Discoba (norank)Euglenozoa (phylum)Kinetoplastea (class)Prokinetoplastina (subclass)Ichthyobodonidae (family)Perkinsela (genus)unclassified Perkinsela (norank),|131567|2759|2611352|33682|5653|2704646|1027875|630701|2639366|
A0A2T6CMR2,A0A2T6CMR2,A0A2T6CMR2_9BACT,717,2161864,cellular organisms (norank)Bacteria (superkingdom)PVC group (norank)Verrucomicrobiota (phylum)Opitutae (class)Opitutales (order)Opitutaceae (family)Opitutus (genus)unclassified Opitutus (norank),|131567|2|1783257|74201|414999|415000|134623|178440|2649488|
Q9P7T8,Q9P7T8,YIW2_SCHPO,1717,284812,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Ascomycota (phylum)Taphrinomycotina (subphylum)Schizosaccharomycetes (class)Schizosaccharomycetales (order)Schizosaccharomycetaceae (family)Schizosaccharomyces (genus)Schizosaccharomyces pombe (species),|131567|2759|33154|4751|451864|4890|451866|147554|34346|4894|4895|4896|
Q6Q899,Q6Q899,RIGI_MOUSE,926,10090,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Metazoa (kingdom)Eumetazoa (norank)Bilateria (norank)Deuterostomia (norank)Chordata (phylum)Craniata (subphylum)Vertebrata (norank)Gnathostomata (norank)Teleostomi (norank)Euteleostomi (norank)Sarcopterygii (superclass)Dipnotetrapodomorpha (norank)Tetrapoda (norank)Amniota (norank)Mammalia (class)Theria (norank)Eutheria (norank)Boreoeutheria (norank)Euarchontoglires (superorder)Glires (norank)Rodentia (order)Myomorpha (suborder)Muroidea (norank)Muridae (family)Murinae (subfamily)Mus (genus)Mus (subgenus),|131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|8287|1338369|32523|32524|40674|32525|9347|1437010|314146|314147|9989|1963758|337687|10066|39107|10088|862507|
A0A0V0Q9V0,A0A0V0Q9V0,A0A0V0Q9V0_PSEPJ,2180,266149,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Ciliophora (phylum)Intramacronucleata (subphylum)Oligohymenophorea (class)Scuticociliatia (subclass)Philasterida (order)Pseudocohnilembidae (family)Pseudocohnilembus (genus),|131567|2759|2698737|33630|5878|431838|6020|35094|198613|35102|35103|
A0A7X6ZA30,A0A7X6ZA30,A0A7X6ZA30_9MICO,762,1873462,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Actinomycetota (phylum)Actinomycetes (class)Micrococcales (order)Microbacteriaceae (family)unclassified Microbacteriaceae (norank),|131567|2|1783272|201174|1760|85006|85023|90316|
A0A5N1L6N3,A0A5N1L6N3,A0A5N1L6N3_9EURY,868,1853686,cellular organisms (norank)Archaea (superkingdom)Euryarchaeota (phylum)Stenosarchaea group (norank)Halobacteria (class)Halobacteriales (order)Haloarculaceae (family)Haloarcula (genus)unclassified Haloarcula (norank),|131567|2157|28890|2290931|183963|2235|1963268|2237|2624677|
A0A0P0EV28,A0A0P0EV28,A0A0P0EV28_AZOBR,685,192,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Alphaproteobacteria (class)Rhodospirillales (order)Azospirillaceae (family)Azospirillum (genus),|131567|2|1224|28211|204441|2829815|191|
A0A0K1QJZ8,A0A0K1QJZ8,A0A0K1QJZ8_PSEFL,723,1221522,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)Pseudomonadales (order)Pseudomonadaceae (family)Pseudomonas (genus)Pseudomonas fluorescens group (norank)Pseudomonas fluorescens (species),|131567|2|1224|1236|72274|135621|286|136843|294|
A0A8T9ZVP4,A0A8T9ZVP4,A0A8T9ZVP4_9BACT,,,,
